"AYIQELIZ7YE28",1.99
"A2E0LU8V4EUX5C",2.54
"A3RT3B73TLJBO1",2.64
"A20X6V1AAXZGNZ",2.37
"A3TSBDLVRHENSB",2.49
"AT4S5FAHC5R0D",2.8
"A2NXSMA0NSZ92N",4.12
"A256QIR5XUIP8K",2.4
"A1TURLFYFS5PHE",4.19
"A16M34QYFSR0LP",2.63
"A4FCEO6DF59YB",2.84
"A2SERZE9HPP1ZY",5
"A1WDKH2DYOYE8X",3.89
"AWCVA355B68K3",2.1
"A3HQXCWOIQKT4F",3.46
"ATPAMEYV22WR9",3.22
"A2YD5QY2YLJNRH",2.31
"A32K4W6B31XWVR",2.93
"AOHLOY4AOE92M",2.53
"A1X4IO9IN94CSF",2.29
"A2S9O0W8SRVAH8",2.39
"A2Q8HV5LC6GBNA",5
"A2GXLM74C7BDI8",3.61
"A24E737D0977EH",2.85
"A3NQ19CVN9CZGZ",3.5
"A3DW6KSQPG6GVQ",2.6
"A3CD3C99T8S6ON",3.51
"A37COUAUPN7XUK",3.83
"A3JF8PQN9258SZ",2.56
"A1TOER30AQUY2F",2.5
